CommonName;Latitude;Longitude;Wine;Vintage;Origin;TastingNotes;Alcohol;RS;pH;TA;VA;TSO2;FSO2;MainVariety;WineType;WineStyle;WineBody;WineTaste;Wooded
Claime d'Or Wines;0;0;Claime d'Or Sauvignon Blanc 2011;2011;West Coast;Elegant, lively and finely balanced, Claime d'Or Sauvignon Blanc is tightly wound around a core of crisp, flinty and mineral notes. Its vibrancy is amplified with allusions to ripe green figs and succulent grapefruit. The sleek mouth-feel culminates in an;12.94;3.3;3.25;8.0;0.53;121;42;Sauvignon Blanc;White;Dry;Medium;Fruity;
Claime d'Or Wines;0;0;Claime d'Or Chardonnay 2011;2011;;This is a full-bodied, complex wine with excellent fruit and wood integration. Lots of work in the vineyard and minimal interference in the cellar allows this wine to express its terroir to the fullest. A complex nose with appealing roasted citrus aromas ;13.08;2.8;3.56;7.8;0.45;144;21;Chardonnay;White;Dry;Full;;
Simonsvlei Winery;-33,90055466;18,86499977;Simonslvei Toffee Chunk Syrah 2012;2012;Western Cape;Toffee Chunk originated from the toffee characters associated with the unique maturation of this wine. Very distinct toffee aromas dominate,followed by a smokiness and an extended berry finish that follows through onto the palate.;13.88;3.87;3.55;4.92;;46;;Shiraz;Red;Dry;Medium;Fragrant;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Lifestyle Cabernet Sauvignon 2012;2012;Western Cape;Lovely berries and cherries flavours.;14;6.31;3.75;5.21;;101;;Cabernet Sauvignon;Red;Off Dry;;;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Lifestyle Merlot 2012;2012;Western Cape;An unwooded, off-dry red wine. Intense colour, the nose full of ripe fruit with dark chocolate and almond overtones.;14.19;6.02;3.67;5.47;;119;;Merlot;Red;Off Dry;;Fragrant;
Backsberg Estate Cellars;-33,82860947;18,91583061;Backsberg Tread Lightly Chenin Blanc 2012;2012;Paarl;Pear, green apple and cashew provide an array of aromatic characters.  Ripe fruit is tempered by finely balanced acidity to give a mouth filling, yet refreshing palate, which has a lingering finish.;12.81;2.2;3.49;5.1;;;;Chenin Blanc;White;Dry;Soft;Fruity;
Van Loveren;-33,80350113;19,99167061;Van Loveren Blanc de Noir Shiraz 2013;2013;Breede River;"This dry Blanc de Noir has a lovely coral pink colour with soft red berries on the nose and a fresh finish.&nbsp;<span style=""font-size: 10pt;"">A dry, easy-drinking Blanc de Noir.</span>";12.46;1.9;3.72;4.6;;;;Shiraz;Rose;Dry;Light;;
Van Loveren;-33,80350113;19,99167061;Van Loveren River Red 2013;2013;Robertson;A hugely popular, smooth red blend. Good upfront fruit and berries on the nose and palate. Soft tannins and a pleasant lingering palate.;14.34;2.5;3.64;4.8;;;;Ruby Cabernet;Red;Dry;;Fruity;
Tanagra Private Cellar;0;0;Tanagra Shiraz Single Vineyard Wine 2012;2012;;Deep, purple colour, pleasant spicy features, firm yet unaggressive tannins.;14.4;1.8;;6.0;;;;Shiraz;Red;;Medium;Fragrant;
Tanagra Private Cellar;0;0;Tanagra Carah 2012;2012;;Very smooth , deep coloured blend, combining the typical Cabernet Sauvignon elegance with the Shiraz spiciness.;14.4;2.3;;6.2;;;;Cabernet Sauvignon;Red;Dry;;;
Van Loveren;-33,80350113;19,99167061;Van Loveren Merlot 2013;2013;Robertson;Lightly oaked wine with soft strawberry notes on the nose, a rich fruity palate and soft, well balanced tannins, ensuring easy drinking.;14.17;3.8;3.52;5.3;;;;Merlot;Red;;Medium;Fruity;
Oldenburg Vineyards;-33,92856979;18,94856071;Oldenburg Vineyards Syrah 2012;2012;Stellenbosch;The Oldenburg Syrah 2012 has an opaque crimson colour with flashes of black cherry. Red fruit, ripe plums and cherries describe the nose and hints of white pepper adds a dash of spice. The wood character is understated and shines through as an almond nutt;14.74;2.0;3.56;5.80;;;;Shiraz;Red;Dry;Full;;
Bromar Wines;-33,63996887;19,013134;Tinus Shiraz 2013;2013;Western Cape;Deep plums, smokey, scrub, silky mouth-feel with a bit of milled pepper.Good fruit-acid tension and grip in finish.;13.5;2.0;3.54;5.8;0.34;;;Shiraz;Red;Dry;Full;;
Bromar Wines;-33,63996887;19,013134;Tinus Chardonnay 2015;2015;Western Cape;Lively palate with lemon, lime, a touch of fig and melon. Restrained, harmonious and elegant.;13.0;1.8;3.32;6.0;0.33;;;Chardonnay;White;Dry;;;
Bromar Wines;-33,63996887;19,013134;Goede Kap Cabernet Sauvignon 2014;2014;Western Cape;"Wine Type: Natural dry red<br />Slightly wooded<br />Taste: Berry fruits, nuts<br />Red berries with almond nuances &amp; soft tannins<br />Export only";14.02;4.0;3.63;6.6;;110;35;Cabernet Sauvignon;Red;Dry;Full;;
Bromar Wines;-33,63996887;19,013134;Goede Kap Pinotage 2014;2014;Western Cape;"Wine Type: Natural Dry Red<br />Taste: Coffee &amp; Mocha<br />Complex with strong coffee and mocha flavours mixed with plum fruit.<br /><br />Export only";13.95;3.16;3.66;5.25;;81;41;Pinotage;Red;Dry;Full;;
Bromar Wines;-33,63996887;19,013134;Goede Kap Merlot 2014;2014;Western Cape;Ripe rich plum/mulberry with lingering almond/vanilla fragrance, satisfyingly textured palate.;13.5;4.0;3.45;5.56;0.45;;;Merlot;Red;Dry;;;
Obikwa Wines;-33,940979;18,85289383;Obikwa Merlot 2013;2013;Stellenbosch;Colour: Light ruby.<br />Bouquet: Ripe berry character with hints of spice and oak.<br />Taste: Medium bodied, fruity with a soft and elegant palate laced with ripe fruit and spicy vanilla.;13.72;6.32;3.73;5.47;;;;Merlot;Red;;Medium;;
Monterosso Wine Estate;-33,90103531;18,83818626;Monterosso Cabernet Sauvignon / Merlot 2013;2013;Stellenbosch;Soft subtle tannins, complex and well balanced. Dark ruby colour, well structured and reflects typical French blending style together with Italian flair.;13.5;3.0;3.4;5.6;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Monterosso Wine Estate;-33,90103531;18,83818626;Monterosso Sangiovese 2013;2013;Stellenbosch;Good length and well-developed flowers with clean modulated tannins.  Fine perfume and spice followed by red berries and plums.;13.5;2.0;3.4;5.4;;;;Sangiovese;Red;Dry;Medium;;
MAN Vintners;0;0;MÂ·AÂ·N Family Wines Cabernet Sauvignon 2012;2012;Coastal Region;"<div><span style=""text-decoration: underline;"">Ou Kalant Cabernet Sauvignon</span></div><div>Cabernet Sauvignon is our most popular wine: this ou kalant (old rascal) remains a firm favourite, outfoxing the others by combining New World ripe fruit flavours";14.0;5.0;3.55;5.2;;;;Cabernet Sauvignon;Red;Dry;Medium;;
Glenelly Estate Wines;-33,91751099;18,87597084;Glenelly Grand Vin de Glenelly Chardonnay 2013;2013;Simonsberg-Stellenbosch;The Grand Vin Chardonnay displays a wonderful bright crisp colour. The nose displays vibrant lemon and lime zest, with hints of apple, pear drop, lychee and rose which overlays the minerality. The palate is lush, the creamy texture is underpinned with bea;13.0;2.6;3.38;5.6;;;;Chardonnay;White;Dry;;;
Nitida;0;0;Nitida Sauvignon Blanc 2014;2014;Durbanville;"
			Nitida character on steroids, a veritable summer pea salad with golden delicious apples, green grapes, sunflower seeds and young sprouts. Complex finish makes confident conversation with all food but baked cob and pureed cauliflower would be exception";13.5;;;;;;;Sauvignon Blanc;White;Dry;Medium;Fruity;
Origin Wine;-33,87810135;18,81488991;Unsung Hero Chenin Blanc 2011;2011;Western Cape;Upfront tropical fruit, ripe pineapple, melon, peaches and honey flavours on the nose. Full and juicy palate with layers of ripe tropical fruit complemented by a long clean and crisp aftertaste.<br />;13.24;4.66;3.34;6.2;0.45;105;45;Chenin Blanc;White;Dry;Full;Fruity;
Arra Vineyards;-33,82889175;18,85667038;Arra Shiraz / Cabernet Sauvignon 2011;2011;Stellenbosch;Nose: Nougat, marzipah, almond, blue berry, blackcurrant, liquerice, tabacco leaves, black berry.<br />Palate: Tobacco, mineral, raspberry, blackcurrant, mulberry, origanum, creamy, almonds.;14.0;2.5;3.64;5.8;;;;Shiraz;Red;Dry;Medium;Fragrant;
Origin Wine;-33,87810135;18,81488991;Fairhills Chenin Blanc / Chardonnay 2011;2011;Western Cape;Elegant and crisp medley of citrus aromas and melon undertones, creating an invigorating wine with a concentrated palate and a remarkably fresh finish.<br />;12.72;3.97;3.5;5.63;0.38;137;55;Chenin Blanc;White;Dry;;Fruity;
Almenkerk Wine Estate;0;0;Almenkerk Sauvignon Blanc 2013;2013;Elgin;This single-vineyard wine is crafted to be the ultimate expression of Elginâ€™s cool climate: Elegant, complex with a core of minerality. A true terroir wine, it offsets the typical green aromas of Sauvignon Blanc with the tropical tones of fully ripened ;13.0;3.7;3.22;7.1;;;;Sauvignon Blanc;White;Dry;;Mineral;
Stellenzicht Vineyards;-33,9967041;18,86684227;Stellenzicht Golden Triangle Sauvignon Blanc 2014;2014;Stellenbosch;Colour: Bright, crisp and sparkling, the wine entices with its ever-so-slight green tinge which should take on a delicate golden hue after a further few months in the bottle.<br />Bouquet: A complex array of creamy gooseberry and flinty watercress blended;14.0;2.6;3.32;5.4;;152;33;Sauvignon Blanc;White;Dry;Full;;
Swartland Winery;-33,45444107;18,75778008;Swartland Cuvee Brut 2014;2014;Swartland;Colour: Slight Green tint.<br />Bouquet: Refreshing sparkling wine with mineral flavours.<br />Palate: Round and not too dry, with fresh and crisp acidity. The perfect Partner to any celebration.;12.76;11.7;3.6;4.9;0.22;121;37;Sauvignon Blanc;Sparkling;Off Dry;;Mineral;
Groot Constantia Estate (founded 1685);-34,03107834;18,41889954;Groot Constantia Gouverneurs Reserve 2012;2012;;"
			A wine with a dense ruby colour. On the nose one finds ripe rich flavours like blackberry, black cherries and plums with hints of cigar box. These rich flavours follow through on the palate with hints of black pepper on the aftertaste. The firm yet fi";13.88;2.5;3.57;5.4;;;;Merlot;Red;;;;
Babylonstoren;;;Babylonstoren Viognier 2015;2015;Western Cape;<p>This dry, slightly wooded, medium-bodied white wine is creamy with a floral nose and lime zest finish that provides the perfect balance to the depth of wood.</p><p>COLOUR: light, yellowish tint.<br />BOUQUET: showcase layers fresh pear and dried aprico;14.5;;;;;;;Viognier;White;Dry;Medium;Fragrant;
Richard Kershaw Wines;;;Kershaw Elgin Chardonnay 2014;2014;Elgin;"<p>Restrained, mineral style focussed on elegance with&nbsp;a white fruit character, some oatmeal and some complexity gained from&nbsp;percipient wood application. In 2014, this was interpreted into wines that&nbsp;have focus with understated power, pure ";13.44;;;;;;;Chardonnay;White;;;Mineral;
Knorhoek Wines;-33,88777924;18,87583351;Knorhoek Shiraz 2011;2011;Simonsberg, Stellenbosch;Rich plum and young berry flavours enhanced by mixed spice and white pepper flavours on the nose. On the palate the wine is soft and tannins are well integrated with the fruit and oak.<br />;14.5;3.5;3.54;5.5;;;;Shiraz;Red;Dry;;;
Painted Wolf Wines;0;0;Painted Wolf Rosalind Pinotage RosÃ© 2011;2011;Paarl;A fine fruity wine with cherry, strawberry, peach and mineral aroma and a fresh lingering finish.  ;13.25;3.2;3.32;6.3;;;;Pinotage;Rose;;;;
Rustenberg Wines;-33,89538956;18,89240074;Rustenberg Sauvignon Blanc 2011;2011;Stellenbosch;The intrinsic Sauvignon Blanc characteristics of green pepper, asparagus and gooseberry, with underlying tones of pineapple and passion fruit, are sustained on a fresh, crispy and well-balanced palate with prodigious length.;13.84;2.8;3.31;6.00;;;;Sauvignon Blanc;White;Dry;;;
Journeys End Vineyards;-34,11238098;18,90583992;Journey's End Chardonnay 2011;2011;Stellenbosch;Pale gold, clear and bright. Creamy citrus and almond aromas, with tropical fruit nuances. Elegantly structured, with the citrus perfectly partnered by toasty oak, giving full-flavoured appeal.;14.0;3.3;3.46;6.1;0.50;111;39;Chardonnay;White;Dry;Full;Fruity;
Vinimark Trading;0;0;The Wolftrap Red 2011;2011;Western cape;â€œThe easy oneâ€ - Full of black fruits, red and black berries with some violet flavours. Smooth on the palate with some fresh aromas of wild strawberries and cherries.<br /><br />;;;;;;;;Shiraz;Red;;;;
Badsberg Wine Cellar;-33,66115189;19,26960182;Badsberg Badslese 2012;2012;Breedekloof;Colour: Rich, golden colour.<br />Nose: Honey and raisins.<br />Palate: Typical botrytis character. Excellent balance between alcohol, sugar and acidity.;11.34;126.2;3.56;7.9;;;;Chenin Blanc;White;Sweet;;Fruity;
Yonder Hill;-34,02908707;18,82142448;Yonder Hill Y Merlot 2012;2012;Western Cape;A friendly, soft smooth easy red wine for immediate drinking. It's full of spice, crushed peppercorns with hints of coffee. Try the wine slightly chilled. Why not?<br />;14.5;3.5;3.5;5.9;;;;Merlot;Red;Dry;;;
Lomond;-34,56636047;19,48288345;Lomond Sauvignon Blanc 2012;2012;Cape Agulhas;Colour: Brilliantly clear with a green tinge. <br />Bouquet: Delicate aromas of green pepper and tropical fruit with herbaceous undertones.<br />Taste: Fresh and medium-bodied with a delicate minerality, while the green and tropical fruit flavours carry t;13.68;2.02;3.22;6.43;;;;Sauvignon Blanc;White;Dry;Medium;Fruity;
Babylons Peak Private Cellar;0;0;Babylon's Peak Chenin Blanc 2011;2011;Swartland;Lots of guava, granadilla, litchi and other passion fruit flavours are prominent on the nose.  Behind the fruitiness and fermentation flavours, there are more mineral flavours - typical from a Swartland Chenin.  Very fresh on the palate, with a â€˜fizzine;13.0;3.5;3.4;6.1;;;;Chenin Blanc;White;;;;
Stellenrust Wine Estate;-33,98851776;18,84921265;Stellenrust 50 Barrel Fermented Chenin Blanc 2014;2013;Bottelary;Grapes for this wine is harvested from a 50 year old single vineyard of Chenin blanc on the slopes of the Bottelary Hills, hence the number on the front of the bottle referring to age of the vines in the year the wine was made.;13.4;3.9;3.31;7.3;;;;Chenin Blanc;White;Off Dry;;;
Rustenberg Wines;-33,89538956;18,89240074;Rustenberg Ida's White 2012;2012;Stellenbosch;This refreshing white blend has an expressive nose dominated by tropical and passion fruit with multiple layers of complex flavours on the palate as a result of the diverse blend components. <br /><br />This wine is named after a lady rumoured to have bee;13.3;4.08;3.22;5.45;;;;Sauvignon Blanc;White;Dry;;Fruity;
Clos Malverne Estate;-33,91056061;18,81361008;Clos Malverne Cabernet Sauvignon / Shiraz 2011;2011;Devon Valley,Stellenbosch;The wine has a deep garnet colour. <br />Spicy and peppery on the nose with well integrated berry flavours from the Cabernet. A medium to full bodied wine with lots of fruit and a lingering after taste.<br />;14.5;3.7;3.78;5.6;;;;Cabernet Sauvignon;Red;Dry;Medium;Fruity;
Muratie Wine Estate;-33,87060165;18,8758297;Melck's Red 2012;2012;;The wine is a soft, fruity, easy, and accessible red wine with good structured ripe tannins.<br />;13.5;4.35;3.68;5.31;;;;Shiraz;Red;Dry;Soft;Fruity;
Dunstone Wines;0;0;Dunstone Shiraz Rose 2011;2011;Wellington;A dry, crispy Rose with aromas of strawberries, raspberries and plum, which follows through to a refreshing palate.;13;4.6;3.37;5.7;;;;Shiraz;Rose;Dry;Medium;Fruity;
Dunstone Wines;0;0;Dunstone Sauvignon Blanc 2011;2011;Tradouw Highlands;Fresh, crispy Sauvignon Blanc, bursting with plenty tropical + green fruit flavours. Followed by a refreshing fruity acidity and  lots of guava aromas.;13.5;3.4;3.04;7.5;;;;Sauvignon Blanc;White;;;;
Slowine;-33,99092102;19,28329659;Slowine Chenin Blanc/ Sauvignon Blanc 2012;2012;Overberg;Upfront tropical fruit, with an abundance of guava and gooseberries following. The palate follows with amazing fruit flavours, balanced by a crisp acidity to ensure fresh and fruity wine.;12.5;3.31;3.5;6.1;;;;Chenin Blanc;White;Dry;Medium;Fruity;
Thembi & Co;0;0;Thembi Chenin Blanc 2011 (Fair Trade);2011;;Flavour profiles vary between ripe apple and pear, melon and creamy notes, balanced by a crisp acidity. ;12.89;2.2;3.24;6.38;0.42;136;46;Chenin Blanc;White;Dry;;;
Wolvendrift Private Cellar;-33,90976715;20,01465797;Wolvendrift Sauvignon Blanc 2013;2013;Breede River;Unwooded, dry White wine. Bouquet of tropical fruit with a hint of green pepper and a fruity, yet crisp and lively lingering aftertaste.;12.0;3.2;;6.3;0.49;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Guardian Peak;-34,01118088;18,84201431;Guardian Peak Shiraz 2012;2012;Western Cape;"<span style=""font-weight: bold;"">Appearance:</span> Bright Ruby Red. <br /><span style=""font-weight: bold;"">Aroma:</span>&nbsp;<span style=""font-size: 10pt;"">Beautifulblackfruitand cassis aromas are apparent on the nose, with notes of Cajun spice that is ";14.16;4.19;3.53;5.48;;;;Shiraz;Red;Dry;Full;Fruity;
Eagles Cliff Wines;0;0;Eagle's Cliff Sauvignon Blanc 2011;2011;;Rich tropical flavours characterise this elegant wine with its slightly grassy character.<br />;12.0;5.2;;;;;;Sauvignon Blanc;White;Dry;;;
Noble Hill Wine Estate;-33,82691574;18,93685341;Noble Hill Viognier 2012;2012;Coastal Region;"Like a beautiful blonde with an astrophysics PhD, our Viognier is a pleasure to behold but isn't afraid to show its substance. Fresh floral aromas reveal a complex, focused palate of peaches, pears and complementing oak.&nbsp;This Viognier has bright, exp";13.8;3.6;3.28;5.9;;;;Viognier;White;Dry;;;
Barton Vineyards;-34,4383316;19,29638863;Barton Shiraz RosÃ© 2012;2012;Walker Bay;Vivid pink in colour with a fruity nose. Soft and elegant with cherries and raspberries on the palate and a prolonged aftertaste.;13;3.2;3.29;6.9;;;;Shiraz;Rose;;;;
Barton Vineyards;-34,4383316;19,29638863;Barton Sauvignon Blanc 2013;2013;Walker Bay;Showing grapefruit and granadilla aromas on the nose this wine is rounded on the palate with citrus notes complemented with lively acidity which lingers.;13.5;6.8;3.39;7.2;;;;Sauvignon Blanc;White;Dry;Full;Mineral;
Howard Booysen Wines;0;0;Howard Booysen Riesling 2012;2012;;A wine laced with candy-like Mediterranean spicy nuances, corriander, lingering nectarine flavours and racing acidity. These aspects collaborate to form a seductive mouth feel inching closer to the spicy cuisine it requires as seen in the great examples o;12.89;19.9;2.87;8.8;;;;Weisser Riesling;White;Off Dry;;;
Clouds Wine Estate;-33,92620087;18,89716148;Clouds Sauvignon Blanc 2011;2011;;Light yellow/green in colour, the nose shows multi-layered  tropical fruit such as passion fruit, kiwi fruit, gooseberries and fig. This wine is true to the terroir of the soil, high altitude vineyard and aspect where it originates from. This is a mouth f;13.5;3.1;3.27;6.6;;;;Sauvignon Blanc;White;;;;
Clouds Wine Estate;-33,92620087;18,89716148;Clouds Pink Sauvignon Blanc 2011;2011;;A gentle pink salmon colour with a unique nose contrasting the vibrancy of Sauvignon Blanc with a gentle burst of berries. The signiture zest of passion fruit,gooseberries and kiwi so typical of Sauvignon Blanc from Clouds Vineyards is softened and flavou;13.5;3.1;3.27;6.6;;;;Sauvignon Blanc;White;;;;
Noble Hill Wine Estate;-33,82691574;18,93685341;Bloem White Blend 2013;2013;Western Cape;<br />Chenin Blanc is one of the oldest most widely-planted grape varieties in South Africa. We blend this fruitful wine with Viognier to add weight and earthiness. Citrus blossom and stone fruit aromas are followed by creamy peach flavours and a crisp fi;13.5;3.4;3.08;6.5;;;;Chenin Blanc;White;Dry;;;
Noble Hill Wine Estate;-33,82691574;18,93685341;Bloem Syrah / MourvÃ¨dre 2013;2013;Simonsberg-Paarl;"Syrah and Mourv&#232;dre are natural partners, having grown together in the Rh&#244;ne valley for thousands of years. In this blend, black currant and cherry fruit aromas are balanced with exotic spice and earthy undertones. The wine is smooth with a dry,";13.5;2.6;3.53;5.4;;;;Shiraz;Red;Dry;;;
KWV Wines;-33,76215363;18,96186638;KWV The Mentors Grenache Blanc 2011;2011;Western Cape;This refreshing wine displays a variety of flavours on the nose and palate. Aromas of orange peel, mandarin and Granny Smith apples transcend into a rich, generous and flavoursome palate of white peach, mineral, lime and spice. The palate is creamy and la;13.5;2.67;2.97;6.70;;;;Grenache blanc;White;;;;
Hillcrest Estate;0;0;Hillcrest Sauvignon Blanc 2012;2012;;"A light colour with an expressive nose. Lime / passion fruit flavours with 7% Semillon to fill the mid palate &amp; ameliorate the acidity.&nbsp;";13;1.7;3.19;7.0;;;;Sauvignon Blanc;White;Dry;Medium;Fruity;
Yonder Hill;-34,02908707;18,82142448;Yonder Hill Y Shiraz 2012;2012;Western Cape;A friendly, soft smooth easy red wine for immediate drinking. It's full of spice, crushed black pepper with hints of violets. Try the wine slightly chilled. <br />;14.0;3.5;3.7;5.4;;;;Shiraz;Red;Dry;;;
Alluvia Specialist Winery and Private Residence Club;-33,91834641;18,92638397;ilka Sauvignon Blanc 2011;2011;Banghoek Valley;This wine is straw to pale yellow in colour with a green hue to it. The nose is full of tropical fruits with intense sweet yellow apples and evident guava and melon aromas in abundance. This multi-layered, complex Sauvignon Blanc shows distinct mineral an;14.0;1.5;3.31;6.4;;;;Sauvignon Blanc;White;Dry;Medium;Mineral;
MAN Vintners;0;0;MÂ·AÂ·N Family Wines Pinotage 2012;2012;Paarl;We like to focus on the juicier, softer side of Pinotage by carefully managing the fermenting wine. We are able to emphasise the soft mouthfeel, perfume and expressive fruit of Pinotage. Just a touch of oak maturation means the result is delicate and pret;14.0;4.1;3.51;5.9;;;;Pinotage;Red;Dry;Medium;;
Opstal Estate and Restaurant;-33,63909531;19,22841072;Sixpence Sauvignon Blanc / Semillon 2011;2011;Slanghoek;Wow, wotta nose. Could not be fresher or fruitier !! Loaded with ripe, tropical fruit like litchi and mango with fine citrus backing. Fresh mown grass is also there with floral hints in the background. Tropical fruit dominates the fresh, lively mouth. Lot;12.5;2.4;3.55;5.9;;;;Sauvignon Blanc;White;Dry;;;
Rudera Wines;-33,94067001;18,90370941;Rudera Robusto Chenin Blanc 2011;2011;Stellenbosch;The Rudera Robusto Chenin Blanc 2011 shows unrestrained ripe pineapple and citrus, with pear, guava and peach aromas that follow on the nose. Well integrated oak coming through as fresh toast. It gives voluptuous tropical fruit and ripe grapefruit on the ;14.5;5.5;3.47;5.3;0.6;;;Chenin Blanc;White;Dry;Full;;
Arabella;0;0;Arabella Shiraz 2012;2012;Robertson;Deep burgandy red in colour with inviting aromas of vanilla and mocha. The palate rewards with lingering flavours of liquorice and ripe black cherries, supported by soft spicy tannins.;14.00;3.7;3.66;5.6;0.40;46;30;Shiraz;Red;Dry;Full;Fruity;
Boschendal Wines;-33,88594818;18,96892548;Boschendal Reserve Collection Grande Reserve 2013;2013;Stellenbosch;Brooding ruby depth with outspoken dark berry pastille and fleshy plum aromas layered with winter spice and roast cacao bean complexity.  The entry is smooth and rich leading to sumptuous ripe mulberry, black cherry and cassis flavours etched with black p;14.5;3.0;3.5;5.5;;;;Shiraz;Red;Dry;Full;Fragrant;
KWV Wines;-33,76215363;18,96186638;KWV Reserve Collection Chardonnay 2012;2012;Western Cape;This Chardonnay shows an abundance of stone fruit with subtle undertones of limeand apple. The oak integration is exhibited with the subtle aromas of sweet spiceand raw nuts. The palate is focused, creamy and viscous with fresh and zestyelements giving th;13.49;2.51;3.22;6.51;;;;Chardonnay;White;Dry;Medium;Fruity;
MAN Vintners;0;0;MÂ·AÂ·N Family Wines CuveÃ© V Chenin Blanc 2011;2011;Agter-Paarl;Tropical fruit, ripe pineapple, syrupy peaches and sweet citrus aromas and flavours are backed by a refreshing acidity and minerality characteristic of our coastal vineyards. Don't be fooled by the sweetness as this is a versatile food wine.<br />;12.5;28.0;3.1;7.5;;;;Chenin Blanc;White;Semi Sweet;;Fruity;
AA Badenhorst Family Wines;0;0;Secateurs RosÃ© 2011 from old vines Cinsault, Shiraz and Grenache;2011;Coastal;This is a truly unique rosÃ© as it was made from very old vines and really displays the minerality that characterises the wines from our farm. The aromas are complex red fruits, spice, rose water, currants and the palate is generous and textured with a lo;13.52;2.9;3.09;6.8;;88;;Cinsaut;Rose;Dry;;Mineral;
Shannon Vineyards & Wines;0;0;Shannon Sanctuary Peak Sauvignon Blanc 2013;2013;Elgin;The clay/shale soils, provide the Sauvignon with flavours on the riper side of the fruit spectrum and with more structure for a broader palate. The blending in of naturally fermented Semillon, matured on the lees, provides a fuller mouth feel and adds to ;13;2.7;3.32;6.8;;;;Sauvignon Blanc;White;;;;
KWV Wines;-33,76215363;18,96186638;KWV Reserve Collection Sauvignon Blanc 2011;2011;Western Cape;A full bodied wine with upfront gooseberry, granadilla, fig and tropical aromas. The wine is clean, fresh and crisp with hints of minerality, perfume and herbaceous notes. This well balanced wine ends with a crisp, refreshing finish.;13.49;2.39;3.35;6.29;;;;Sauvignon Blanc;White;Dry;Full;Herbaceous;
